productId,whId,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
PR10353,WMF1,45,0,31/12/2019,8901138511838,12,,29.25,,,,,,"Himalaya Herbals Gentle Baby Soap - Almond & Olive, 75g"
PR10347,WMF1,64,0,31/12/2019,8901012116562,24,,52.10592,,,,,,"Johnsons Baby Powder, 100g"
PR10347,WMF1,64,0,31/12/2019,8901012116562,30,,52.10592,,,,,,"Johnsons Baby Powder, 100g"
PR10437,WMF1,52,0,31/12/2019,8901030638237,114,,44.27038133,,,,,,"Ponds Talcum Powder - Magic, 50g"
PR16555,WMF1,199,0,31/12/2019,8901088000451,15,,179.897799,,,,,,"Parachute 100% Pure Coconut Hair Oil, 500ml"
PR11036,WMF1,72,0,31/12/2019,8901023014468,3,,65.448,,,,,,Good Knight Advanced Activ+ Liquid Refill Cartridge
PR11036,WMF1,72,0,31/12/2019,8901023014468,1,,65.448,,,,,,Good Knight Advanced Activ+ Liquid Refill Cartridge
PR10237,WMF1,30,0,31/12/2019,8901314307194,54,,21,,,,,,Inactive Colgate Black Zigzag Toothbrush - Medium
PR10237,WMF1,30,0,31/12/2019,8901314307194,72,,21,,,,,,Inactive Colgate Black Zigzag Toothbrush - Medium
PR10237,WMF1,35,0,31/12/2019,8901314307194,36,,21,,,,,,Inactive Colgate Black Zigzag Toothbrush - Medium
PR10434,WMF1,20,0,31/12/2019,89006818,12,,17.73,,,,,,"Dabur Amla Hair Oil, 45ml"
PR10432,WMF1,32,0,31/12/2019,8901030561566,106,,28.60912,,,,,,"Hamam Neem Soap, 100g"
PR15077,WMF1,85,0,31/12/2019,8901396122005,23,,77.27092422,,,,,,"Lizol 3 in 1 Surface Cleaner - Pine, 500ml"
PR10326,WMF1,40,0,31/12/2019,8901138822217,3,,26,,,,,,"Himalaya Herbals Extra Moisturizing Baby Soap - Aloe,Olive & Milk, 75g"
PR10325,WMF1,25,0,31/12/2019,8901399009020,16,,20.04609359,,,,,,"Chandrika Ayurvedic Soap, 75g"
PR15322,WMF1,30,0,31/12/2019,8901030596346,24,,26.940516,,,,,,"Liril Lime Rush Soap, 75g"
PR15322,WMF1,29,0,31/12/2019,8901030596346,12,,26.940516,,,,,,"Liril Lime Rush Soap, 75g"
PR10213,WMF1,15,0,31/12/2019,8904109450075,102,,13.2,,,,,,"Patanjali Body Cleanser - Haldi Chandan Kanti, 56g"
PR10210,WMF1,34,0,31/12/2019,8901012165270,100,,27.24321333,,,,,,"Stayfree Secure Cottony Soft With Wings - Extra Large, 6pcs"
PR10206,WMF1,19,0,31/12/2019,8901030662010,416,,16.00346,,,,,,"Closeup Deep Action Red Hot Toothpaste, 50g"
PR10205,WMF1,50,0,31/12/2019,8901030486524,385,,42.11936111,,,,,,"Closeup Deep Action Red Hot Toothpaste, 80g"
PR10318,WMF1,18,0,31/12/2019,191514,18,,14.07310667,,,,,,"Vicks VapoRub, 5ml"
PR10515,WMF1,325,0,31/12/2019,8904043107424,1,,260,,,,,,Inactive Nuby No Spill Flip It Cup (ColoRsMay Vary)
PR10526,WMF1,349,0,31/12/2019,8904043101064,2,,279.2,,,,,,Inactive Nuby Flip It Non Drip Straw Mega Sipper (ColoRsMay Vary)
PR10523,WMF1,490,0,31/12/2019,8904043104775,2,,392,,,,,,Inactive Nuby Sure Grip Bowl Silicone Food Grade Plastic (Colors May Vary)
PR11442,WMF1,410,0,31/12/2019,8904043107332,3,,328,,,,,,Inactive Nuby No Spill Insulated Soft Sipper (Colors May Vary)
PR11428,WMF1,410,0,31/12/2019,8904043108049,72,,328,,,,,,Inactive Nuby No Spill Grip N Sip Cup (Colors May Vary)
PR10518,WMF1,449,0,31/12/2019,8904043107745,2,,359.2,,,,,,Inactive Nuby No Spill Grip N Sip Sipper (Colors May Vary)
PR10413,WMF1,29,0,31/12/2019,8901030555480,4029,,25.246936,,,,,,"Lux Soft Touch Soap, 100g"
PR10413,WMF1,29,0,31/12/2019,8901030555480,3836,,25.246936,,,,,,"Lux Soft Touch Soap, 100g"
PR10404,WMF1,28,0,31/12/2019,8904109451928,4,,24.799684,,,,,,"Patanjali Body Cleanser - Aloevera Kanti, 150g"
PR10403,WMF1,75,0,31/12/2019,8904109450327,42,,65.35671875,,,,,,"Patanjali Dant Kanti Toothpaste - Regular, 200g"
PR10403,WMF1,75,0,31/12/2019,8904109450327,8,,65.35671875,,,,,,"Patanjali Dant Kanti Toothpaste - Regular, 200g"
PR11497,WMF1,120,0,31/12/2019,8901030701023,205,,94.322,,,,,,"Closeup (Rs.10) Deep Action Toothpaste, 29g (Pack of 12)"
PR11434,WMF1,34,0,31/12/2019,8901030564222,7,,31.28,,,,,,"Surf Excel Quick Wash Detergent Powder, 200g"
PR11012,WMF1,30,0,31/12/2019,8901030442698,6,,25.84011,,,,,,"Red Label Tea Carton, 100g"
PR10786,WMF1,160,0,31/12/2019,8901030574252,27,,148.8,,,,,,"3 Roses Natural Care Tea Carton, 250g"
PR15566,WMF1,280,0,31/12/2019,8901030656057,90,,242.05132,,,,,,"Brooke Bond Taj Mahal Tea Carton, 500g"
PR10391,WMF1,10,0,31/12/2019,8901030543753,1433,,8.70826,,,,,,"Vim Dishwash Bar, 150g"
PR15065,WMF1,45,0,31/12/2019,8901030391156,30,,39.678174,,,,,,"Vim Dishwash Gel - Lemon Yellow Pouch, 225ml"
PR13671,WMF1,10,0,31/12/2019,8901030664274,334,,9.2,,,,,,"Wheel Detergent Bar - Green, 260g"
PR10303,WMF1,12,0,31/12/2019,8901030473999,461,,10.49806713,,,,,,"Bru (Re.1) Instant Coffee, 0.8g (Pack of 12)"
PR10303,WMF1,12,0,31/12/2019,8901030473999,39,,10.49806713,,,,,,"Bru (Re.1) Instant Coffee, 0.8g (Pack of 12)"
PR11501,WMF1,60,0,31/12/2019,8901030659393,60,,49.5018,,,,,,"Bru (Rs.5) Instant Coffee, 5.5g (Pack of 12)"
PR15612,WMF1,36,0,31/12/2019,8901396142201,21,,34.773075,,,,,,"Lizol Disinfectant Floor Cleaner - Neem, 200ml"
PR15612,WMF1,36,0,31/12/2019,8901396142201,12,,34.773075,,,,,,"Lizol Disinfectant Floor Cleaner - Neem, 200ml"
PR15086,WMF1,40,0,31/12/2019,8901023005862,5,,36.3603636,,,,,,"Godrej No1 Soap - Sandal & Turmeric, 63g (Set of 4)"
PR11871,WMF1,120,0,31/12/2019,8901030604850,61,,100.318144,,,,,,"Surf Excel (Rs.10) Easy Wash Detergent Powder, 95g (Pack of 12)"
PR11871,WMF1,120,0,31/12/2019,8901030604850,9,,100.318144,,,,,,"Surf Excel (Rs.10) Easy Wash Detergent Powder, 95g (Pack of 12)"
PR10757,WMF1,29,0,31/12/2019,8901030193217,65,,26.68,,,,,,"3 Roses Dust Brick Pack, 50g"
PR10372,WMF1,60,0,31/12/2019,8901030622304,29,,45.0027,,,,,,"Red Label (Rs.10) Tea, 28g (Pack of 6)"
PR10116,WMF1,10,0,31/12/2019,8901030601453,44,,9.2,,,,,,Inactive Wheel (Rs. 10) Active Detergent Bar - Blue (180g)
PR10108,WMF1,60,0,31/12/2019,8904109450389,33,,52.8,,,,,,"Patanjali (Rs.3) Kesh Kanti Hair Cleanser - Milk Protien, 8ml (Pack of 20)"
PR11870,WMF1,100,0,31/12/2019,8901030504952,30,,82.4,,,,,,"Rin Advanced Detergent Powder, 250g (Pack of 5)"
PR10095,WMF1,200,0,31/12/2019,8901030650628,13,,169.6689333,,,,,,"Ponds (Rs.10) Talcum Powder - Dreamflower, 25g (Pack of 20)"
PR10095,WMF1,200,0,31/12/2019,8901030650628,61,,169.6689333,,,,,,"Ponds (Rs.10) Talcum Powder - Dreamflower, 25g (Pack of 20)"
PR10362,WMF1,200,0,31/12/2019,8901030650635,3,,171.5952,,,,,,"Ponds (Rs.10) Talcum Powder - Magic, 30g (Pack of 20)"
PR10362,WMF1,200,0,31/12/2019,8901030650635,1,,171.5952,,,,,,"Ponds (Rs.10) Talcum Powder - Magic, 30g (Pack of 20)"
PR11484,WMF1,25,0,31/12/2019,8901287308013,6,,20.05975,,,,,,"Mysore Sandal Talcum Powder, 50g"
PR11484,WMF1,25,0,31/12/2019,8901287308013,12,,20.05975,,,,,,"Mysore Sandal Talcum Powder, 50g"
PR11484,WMF1,25,0,31/12/2019,8901287308013,3,,20.05975,,,,,,"Mysore Sandal Talcum Powder, 50g"
PR10765,WMF1,270,0,31/12/2019,8901233020280,3,,233.4429081,,,,,,"5 Star (Rs.5) Chocolate, 10.1g (Pack of 54)"
PR11504,WMF1,120,0,31/12/2019,8901058854886,52,,100.5696,,,,,,"Munch (Rs.5) Chocolate Bar, 10.1g (Pack of 24)"
PR14364,WMF1,560,0,31/12/2019,8901233028378,10,,480.3584933,,,,,,"Dairy Milk (Rs.10) Chocolate, 12.5g (Pack of 56)"
PR14364,WMF1,560,0,31/12/2019,8901233028378,12,,480.3584933,,,,,,"Dairy Milk (Rs.10) Chocolate, 12.5g (Pack of 56)"
PR15371,WMF1,202,0,31/12/2019,8901393017496,3,,174.608598,,,,,,"Center Fresh (Re.1) Chewing Gum Jar - Sweet Mint, 3g (Pack of 202)"
PR15371,WMF1,202,0,31/12/2019,8901393017496,28,,174.608598,,,,,,"Center Fresh (Re.1) Chewing Gum Jar - Sweet Mint, 3g (Pack of 202)"
PR15630,WMF1,60,0,31/12/2019,8901725131951N,50,,50.3991,,,,,,"Sunfeast (Rs.10) Marie Light Biscuit, 85g (Pack of 6)"
PR13022,WMF1,10,0,31/12/2019,8901063093416,267,,9,,,,,,"Inactive Britannia (Rs. 10) Good Day Biscuit - Cashew, 66g"
PR13040,WMF1,10,0,31/12/2019,8901063162143,248,,9,,,,,,"Inactive Britannia (Rs. 10) Marie Gold Biscuit, 68g"
PR13030,WMF1,10,0,31/12/2019,8901063092280,24,,9,,,,,,"Inactive Britannia (Rs. 10) Good Day Biscuit - Rich Butter, 66g"
