Pid,ProductName,pack qty
PR16777,"Chik (50p) Hairfall Prevent Shampoo, 3.5ml, CASE (Pack of 19200)",19200
PR19562,"Bru (Rs.2) Instant Coffee, 2.2g, CASE (Pack of 3456)",3456
PR16617,"Center Fresh (Re.1) Chewing Gum Jar - Spearmint, 3.2g, CASE (Pack of 3232)",3232
PR16826,"Center Fresh (Re.1) Chewing Gum Jar - Sweet Mint, 3g, CASE (Pack of 3232)",3232
PR19577,"Himani (Re.1) Navratna Hair Oil, 2.7ml, CASE (Pack of 3072)",3072
PR16776,"Emami (Rs.2) Mentho Plus Balm, 1.1ml, CASE (Pack of 3000)",3000
PR19563,"Center Fruit (Re.1) Chewing Gum Jar - Fruits, 3.2g, CASE (Pack of 2880)",2880
PR16832,"Center Fruit (Re.1) Chewing Gum Jar - Strawberry, 3g, CASE (Pack of 2880)",2880
PR16616,"Center Fruit (Re.1) Chewing Gum Jar - Water Melon, 3.2g, CASE (Pack of 2880)",2880
PR19429,"Happydent (Re.1) Bi Pack Chewing Gum Jar - White, 2.2g , CASE (Pack of 2816)",2816
PR19596,"Happydent (Re.1) Wave Chewing Gum Jar - Peppermint Flavour, 2.2g , CASE (Pack of 2816)",2816
PR19462,"Hajmola (Re.1) Candy Jar - Regular, 2.5g, CASE (Pack of 2560) (Dabur Amla Free Worth Rs.10/-)",2560
PR16792,"Parle (50p) Candy Pouch - Mango Bite, 2.89g, CASE (Pack of 2400)",2400
PR15657,"Parle (Re.1) Candy - Melody Chocolaty, 3.9g, CASE (Pack of 2400)",2400
PR18795,"Clinic Plus (50p) Strong & Long Shampoo, 3ml, CASE (Pack of 2304)",2304
PR19430,"Parle (50p) Candy Pouch - Kaccha Mango Bite, 2.89g, CASE (Pack of 2000)",2000
PR19531,"Chik (Re.1) Shampoo - Egg White, 5.5ml , CASE, (Pack of 1920)",1920
PR19530,"Chik (Re.1) Shampoo - Thick & Glossy, 5.5ml, CASE (Pack of 1920)",1920
PR19536,"Karthika (Re.1) Shikakai & Hibiscus Shampoo, 5.5ml, CASE (Pack of 1920)",1920
PR19424,"Parle (Re.1) Candy - Melody Chocolaty, 3.9g, CASE (Pack of 1600)",1600
PR19561,"Bru (Re.1) Instant Coffee, 0.8g, CASE (Pack of 1500)",1500
PR16759,"Karthika (Re.1) Shikakai & Hibiscus Shampoo, 5.5ml, CASE (Pack of 1440)",1440
PR19564,"Choco Royale Soft Center Filled Chocolate Carton - Hazelnut, 11.6g, CASE (Pack of 1376)",1376
PR16802,"Boroplus (Rs.5) Antiseptic Cream, 6ml, CASE (Pack of 1350)",1350
PR16801,"Inactive Parle (Rs.2) Poppins Roll Candy, 16.2g, CASE (Pack of 1200) (2 Rolls Free)",1200
PR16741,"Vicks VapoRub, 5ml, CASE (Pack of 1200)",1200
PR19565,"Clinic Plus (50p) Shampoo - Strong & Long, 3ml, CASE (Pack of 1152)",1152
PR18801,"Vicks VapoRub, 10ml, CASE (Pack of 1080)",1080
PR16782,"Gems (Rs.5) Chocolate, 8.99g, CASE (Pack of 1008)",1008
PR19584,"Inactive Parle (50p) Candy Pouch - Kaccha Mango Bite, 2.89g, CASE (Pack of 1000)",1000
PR19528,"Parle (Rs.2) Poppins Roll Candy, 16.2g, CASE (Pack of 1000) (40 Rolls Free)",1000
PR16761,"5 Star (Rs.5) Chocolate, 10.1g, CASE (Pack of 972)",972
PR16647,"Clinic Plus (Re.1) Strong & Long Shampoo, 6ml, CASE (Pack of 960)",960
PR16745,"Sunsilk (Re.1) Shampoo - Black, 5.5ml, CASE (Pack of 960)",960
PR16721,"Sunsilk (Re.1) Shampoo - Lusciously Thick & Long, 5ml, CASE (Pack of 960)",960
PR16798,"Dairy Milk (Rs.5) Shots, 9g, CASE (Pack of 864)",864
PR19466,"Parle (Re.1) Candy Jar - Melody Chocolaty, 3.9g, CASE (Pack of 800)",800
