productId,whId,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
PR15962,,15999,0,2020-12-30,6941059601791,10,,0,,,,,,"Xiaomi Redmi Note 5 Pro (Lake Blue,64GB,4GB RAM)"
PR15971,,9999,0,2020-12-30,6941059600213,8,,0,,,,,,"Xiaomi Redmi 5(Black,32GB,3GB RAM)(HYD)"
PR15975,,11999,0,2020-12-30,6941059603368,86,,0,,,,,,"Xiaomi Redmi 5(Gold,64GB,4GB RAM)(HYD)"
PR15954,,10999,0,2020-12-30,6954176895233,10,,0,,,,,,"Xiaomi Redmi Note 5 (Gold,32GB,3GB RAM)(HYD)"
PR13503,,7499,0,2020-12-30,6954176839282,10,,0,,,,,,"Xiaomi Redmi 5A (Grey,32GB,3GB RAM)(HYD)"
PR15987,,999,0,2020-12-30,6934177701030,47,,0,,,,,,Xiaomi Casual College Backpack (Grey)(HYD)
PR11238,,1799,0,2020-12-30,6954176836069,163,,0,,,,,,Xiaomi Mi Band HRX Edition (Black)(HYD)
PR15185,,999,0,2020-12-30,6934177701023,8,,0,,,,,,Xiaomi Casual College Backpack (Black)(HYD)
PR12055,,37999,0,2020-12-30,6954176837868,27,,0,,,,,,"Xiaomi Mi Mix2 (Black,128GB,6GB RAM)(HYD)"
PR15972,,9999,0,2020-12-30,6941059600206,13,,0,,,,,,"Xiaomi Redmi 5(Gold,32GB,3GB RAM)(HYD)"
PR10449,,17999,0,2020-12-30,6954176835666,60,,0,,,,,,"Xiaomi Mi Max 2 (Black,4GB RAM,64GB)(HYD)"
PR15973,,9999,0,2020-12-30,6941059601135,23,,0,,,,,,"Xiaomi Redmi 5(Blue,32GB,3GB RAM)(HYD)"
PR14610,,1999,0,2020-12-30,6970244527424,196,,0,,,,,,"Xiaomi Mi Power Bank 2i (White,20000mAh)(HYD)"
PR15979,,10499,0,2020-12-30,6941059603870,7,,0,,,,,,"Xiaomi Redmi Y2 (Dark Grey, 32GB,3GB RAM)(HYD)"
PR15976,,11999,0,2020-12-30,6941059603375,132,,0,,,,,,"Xiaomi Redmi 5(Black,64GB,4GB RAM)(HYD)"
PR15977,,10499,0,2020-12-30,6941059603887,8,,0,,,,,,"Xiaomi Redmi Y2 (Gold, 32GB,3GB RAM)(HYD)"
