created_on,stock_id,productId,WMF1,mrp,cost,shelfLife,barcode,quantity,offer,purchasePrice,serialNo,location,area,rackId,binId,product_name
2018-08-10 21:17:21,517016,PR10373,WMF1,20,0,2018-06-30,8901030273643,200,,0,,,,,,Red Label (Rs. 5) Tea (14g) (1 SHEET x 4 Sachets)
2018-08-10 21:17:21,521383,PR10544,WMF1,320,0,2018-08-30,8901042954813,8,,0,,,,,,MTR (Rs. 32) Chilli Powder (100g) (1 SHEET x 10pcs) 
2018-08-10 21:17:21,517203,PR10544,WMF1,320,0,2018-04-30,8901042954813,16,,0,,,,,,MTR (Rs. 32) Chilli Powder (100g) (1 SHEET x 10pcs) 
2018-08-10 21:17:21,521385,PR10540,WMF1,320,0,2018-08-30,8901042954820,8,,0,,,,,,MTR (Rs. 32) Turmeric Powder (100g) (1 SHEET x 10pcs)
2018-08-10 21:17:21,517202,PR10540,WMF1,320,0,2018-06-30,8901042954820,10,,0,,,,,,MTR (Rs. 32) Turmeric Powder (100g) (1 SHEET x 10pcs)
2018-08-10 21:17:21,527096,PR13208,WMF1,240,0,2019-04-30,8901233028613,12,,0,,,,,,Dairy Milk (Rs. 5) Shots (9g) (1 BUNDLE x 48pcs)
2018-08-10 21:17:21,529771,PR13120,WMF1,80,0,2019-01-30,8901719703058,11,,0,,,,,,Parle (Rs. 10) Krack Jack Orginal Biscuit (75.6g) (1 BUNDLE x 8pcs) 
2018-08-10 21:17:21,529514,PR15568,WMF1,165,0,0000-00-00,8901233023502,11,,0,,,,,,Cadbury Eclairs (Re. 1) Candy (3.5g) (1 JAR x 165pcs)
2018-08-10 21:17:21,525971,PR14936,WMF1,7,0,2020-12-30,473638,4,,0,,,,,,Camlin Glitter Tube
2018-08-10 21:17:21,529529,PR10401,WMF1,5,0,2020-10-30,8901030656798,20,,0,,,,,,Lux (Rs. 5) Soap - Pink Mini (30g)
2018-08-10 21:17:21,527539,PR10152,WMF1,5,0,2021-05-30,8901030495120,127,,0,,,,,,Rin (Rs. 5) Detergent Bar - Blue (80g)
2018-08-10 21:17:21,529064,PR10152,WMF1,5,0,2021-06-30,8901030495120,23,,0,,,,,,Rin (Rs. 5) Detergent Bar - Blue (80g)
2018-08-10 21:17:21,528402,PR11048,WMF1,5,0,2020-05-30,27530,120,,0,,,,,,Lifebuoy Total Soap (35g)
2018-08-10 21:17:21,524738,PR14907,WMF1,7,0,2020-12-30,473521,17,,0,,,,,,Kangaro Stapler Pins No. 10 (1000 Staples)
